일시,도_num,연도,PC1,PC2,PC3,PC4,품종명,도,마켓명,가격
2018-06-06,12,2018,-385.0004363253084,0.23682449201435582,1.6163817314347995,1.4808666956294239,토마토(10kg),광주광역시,각화도매,18000.0
2018-06-06,13,2018,-384.00074363085946,1.452114321876085,2.1846093046513126,0.05607675711894293,토마토(10kg),부산광역시,엄궁도매,18000.0
2018-06-06,14,2018,-383.0004054813295,0.17411662669959282,1.321537751474651,0.38973658103926556,토마토(10kg),전라남도,각화도매,18000.0
2018-06-07,0,2018,-382.0005704159227,-0.1895804277842587,2.7063005158017304,1.4796911752184327,토마토(10kg),강원도,가락도매,19000.0
2018-06-07,1,2018,-381.0002136116718,0.5037868962397981,0.8270892584073875,0.028794629804178542,토마토(10kg),경기도,가락도매,19000.0
2018-06-07,2,2018,-379.999911063768,-0.7356497504517234,-0.330173759862085,0.33565694214294617,토마토(10kg),인천광역시,가락도매,19000.0
2018-06-07,3,2018,-379.00018767968595,1.6308872095647884,0.17269206396084283,-0.8383173513542691,토마토(10kg),서울특별시,가락도매,19000.0
2018-06-07,4,2018,-378.00085495781997,0.5878045695281348,3.3207666296358505,1.1756132499934902,토마토(10kg),경상북도,북부도매,19000.0
2018-06-07,5,2018,-377.0006676571106,1.41597091035681,2.1588163284293125,0.9776406033273488,토마토(10kg),충청북도,오정도매,16000.0
2018-06-07,6,2018,-376.00038630608884,0.26710451616765424,1.2353602424826378,0.7393578035245175,토마토(10kg),충청남도,오정도매,16000.0
2018-06-07,7,2018,-375.00048095860296,0.22057539545611693,1.9171699317622726,1.440540356385668,토마토(10kg),대전광역시,오정도매,16000.0
2018-06-07,8,2018,-374.0005954627067,0.6826463056310552,2.1022842445233585,1.2508374047495563,토마토(10kg),전라북도,각화도매,18000.0
2018-06-07,9,2018,-373.0009148661401,1.032755978543748,3.4988991160850613,1.3915429320849144,토마토(10kg),대구광역시,북부도매,19000.0
2018-06-07,10,2018,-372.00131782861627,4.171874014190248,2.53605363137585,-0.652420635060087,토마토(10kg),울산광역시,엄궁도매,18000.0
2018-06-07,11,2018,-371.00095833592184,1.3176266685331144,3.2316154246657525,1.1714204475154202,토마토(10kg),경상남도,엄궁도매,18000.0
2018-06-07,12,2018,-370.00062108063463,1.3630825289460569,2.2531303179546462,1.01168320721724,토마토(10kg),광주광역시,각화도매,18000.0
2018-06-07,13,2018,-369.0010425395132,2.7808487773273676,2.715205992012334,0.3199477102735126,토마토(10kg),부산광역시,엄궁도매,18000.0
2018-06-07,14,2018,-368.00071866889465,1.1821456632850682,2.1908591295236444,0.38362018686230703,토마토(10kg),전라남도,각화도매,18000.0
2018-06-08,0,2018,-367.0002864182687,-0.7302053465586923,1.8938362347516535,1.1772001022423337,토마토(10kg),강원도,가락도매,19000.0
2018-06-08,1,2018,-366.0000518645545,-0.5801883523500099,0.4918254855324101,0.5229986783293771,토마토(10kg),경기도,가락도매,19000.0
2018-06-08,2,2018,-364.9999482858164,-0.8934970183087145,0.11763857931269134,0.14845070901814772,토마토(10kg),인천광역시,가락도매,19000.0
2018-06-08,3,2018,-363.9999767321899,-0.08688444441333368,-0.01092529953569812,-0.2122984118464446,토마토(10kg),서울특별시,가락도매,19000.0
2018-06-08,4,2018,-363.00080001887926,0.49221750348781973,3.0709995776742653,1.2873599641989655,토마토(10kg),경상북도,북부도매,20000.0
2018-06-08,5,2018,-362.0006412506763,1.1603081477531036,1.7990041762349582,1.4325584104124158,토마토(10kg),충청북도,오정도매,16000.0
2018-06-08,6,2018,-361.0003486633874,-0.32700742327694776,1.0595925034857872,1.455517756318622,토마토(10kg),충청남도,오정도매,16000.0
2018-06-08,7,2018,-360.0005392912347,0.6013648769455125,1.6697806207434394,1.6358654764307592,토마토(10kg),대전광역시,오정도매,16000.0
2018-06-08,8,2018,-359.0005411549095,0.6194553486214218,1.5327481528299314,1.5834765399309743,토마토(10kg),전라북도,각화도매,20000.0
2018-06-08,9,2018,-358.00060766127547,0.01673298526973932,2.874135112773104,0.8822399692454247,토마토(10kg),대구광역시,북부도매,20000.0
2018-06-08,10,2018,-357.0012409304678,3.3163637388666793,2.4885317926736197,0.6733057417473226,토마토(10kg),울산광역시,엄궁도매,19000.0
2018-06-08,11,2018,-356.001044598645,1.4616757055342693,3.067201379401857,1.6901349885792347,토마토(10kg),경상남도,엄궁도매,19000.0
2018-06-08,12,2018,-355.0004191078676,1.0475947819761862,1.2646261836745503,1.1843654429743975,토마토(10kg),광주광역시,각화도매,20000.0
2018-06-08,13,2018,-354.0011708592745,2.7782412903576064,2.8415775388117774,0.6015396999762235,토마토(10kg),부산광역시,엄궁도매,19000.0
2018-06-08,14,2018,-353.00046231002557,0.47996575553235,1.5115364134299216,0.6390322543501377,토마토(10kg),전라남도,각화도매,20000.0
2018-06-09,0,2018,-351.9999293161294,-2.1764907750215534,0.7595358392702851,1.502906526651642,토마토(10kg),강원도,가락도매,19000.0
2018-06-09,1,2018,-351.0002070066903,-0.08055159814772508,0.9249934658536834,0.6527650371721428,토마토(10kg),경기도,가락도매,19000.0
2018-06-09,2,2018,-350.0003451646661,0.49680290609675115,0.7311817916933488,0.565081360637725,토마토(10kg),인천광역시,가락도매,19000.0
2018-06-09,3,2018,-349.00012253656934,0.3139518269962488,0.3887116247062062,-0.11328041770891802,토마토(10kg),서울특별시,가락도매,19000.0
2018-06-09,4,2018,-348.0002306170278,-1.0340179473472542,0.9209074129449434,1.4349952369394556,토마토(10kg),경상북도,북부도매,20000.0
2018-06-09,5,2018,-347.0003078568614,-0.14486535150770413,1.431747491845471,0.9419280202091456,토마토(10kg),충청북도,오정도매,16000.0
2018-06-09,6,2018,-346.0004856807705,0.07468038745156251,1.5978150222969911,1.5937584935920603,토마토(10kg),충청남도,오정도매,16000.0
2018-06-09,7,2018,-345.0003395263556,-0.24771705502473268,1.6399949702552212,1.136723137867753,토마토(10kg),대전광역시,오정도매,16000.0
2018-06-09,8,2018,-344.0010341120526,2.1593552603313535,2.379818912908914,2.4412171888645884,토마토(10kg),전라북도,각화도매,20000.0
2018-06-09,9,2018,-343.0000152240667,-2.1010929705427657,0.9867295380075589,1.5921614393200902,토마토(10kg),대구광역시,북부도매,20000.0
2018-06-09,10,2018,-342.00013094183004,-0.8610505756943901,0.5960722867812617,0.5983901740458915,토마토(10kg),울산광역시,엄궁도매,19000.0
2018-06-09,11,2018,-341.00047224884815,-0.5958053123700667,2.086650018027519,1.2623187057398477,토마토(10kg),경상남도,엄궁도매,19000.0
2018-06-09,12,2018,-340.0010086959138,2.7091103393793485,2.2033190204702864,2.0980211343836217,토마토(10kg),광주광역시,각화도매,20000.0
2018-06-09,13,2018,-339.00036723374933,-0.5652372308623353,1.8542262723008704,0.17986393132051248,토마토(10kg),부산광역시,엄궁도매,19000.0
2018-06-09,14,2018,-338.0006457133262,0.5249853296834515,2.09235049769237,1.0708025330583022,토마토(10kg),전라남도,각화도매,20000.0
2018-06-10,0,2018,-336.9995712494545,-3.0117787507139835,-0.678077816200759,1.604311524944383,토마토(10kg),강원도,가락도매,19000.0
2018-06-10,1,2018,-335.9995866928384,-2.6685231352813297,-0.8694385816622998,1.001223103795097,토마토(10kg),경기도,가락도매,19000.0
2018-06-10,2,2018,-334.99959037678803,-1.9441330076626124,-1.3412012622027998,0.734545734939964,토마토(10kg),인천광역시,가락도매,19000.0
2018-06-10,3,2018,-333.99955206555313,-2.3361854019763166,-1.218662286644496,0.5413369488884391,토마토(10kg),서울특별시,가락도매,19000.0
2018-06-10,4,2018,-332.999822021003,-1.9445201758905162,-0.7088091418192365,1.4924993340033799,토마토(10kg),경상북도,북부도매,20000.0
2018-06-10,5,2018,-331.9996170644178,-2.911803968142229,-0.2635988772210822,0.643197991577937,토마토(10kg),충청북도,오정도매,16000.0
2018-06-10,6,2018,-330.99973576399975,-2.7586261257984397,0.1163164377860127,0.7934489705927389,토마토(10kg),충청남도,오정도매,16000.0
