일시,도_num,연도,PC1,PC2,PC3,PC4,품종명,도,마켓명,가격
2013-01-02,0,2013,-0.08201246974145292,0.7799396231737913,0.6145523060401493,-0.390076243378726,토마토(10kg),강원도,가락도매,29000.0
2013-01-02,1,2013,0.05335233474214761,0.2511221628841076,-0.0805167897052696,-0.7989568430419108,토마토(10kg),경기도,가락도매,29000.0
2013-01-02,2,2013,0.2607272470707559,-0.026349421964604484,0.28294873152744715,0.01204306321761317,토마토(10kg),인천광역시,가락도매,29000.0
2013-01-02,3,2013,-0.1311847627954813,0.22029043832108844,-0.14359054840305574,-1.0642989177487294,토마토(10kg),서울특별시,가락도매,29000.0
2013-01-02,4,2013,0.4588638040983585,0.538673017773888,0.6214928143435084,-0.44571170038381847,토마토(10kg),경상북도,북부도매,29000.0
2013-01-02,5,2013,0.20300197641878254,0.3157979033705268,0.16917680360866136,-0.8529110980925245,토마토(10kg),충청북도,오정도매,30000.0
2013-01-02,6,2013,-0.669800866691264,0.011033837104797758,0.7727051918990221,-0.5407996644379246,토마토(10kg),충청남도,오정도매,30000.0
2013-01-02,7,2013,-0.03297076440614193,0.19935724619531947,-0.039419428769278494,-0.9477273374249731,토마토(10kg),대전광역시,오정도매,30000.0
2013-01-02,8,2013,-0.09279975517427996,0.19932842324739222,0.43444373048557294,-0.5190371658941402,토마토(10kg),전라북도,각화도매,28000.0
2013-01-02,9,2013,0.9299167494503631,0.44712083948516934,0.032503206287834485,-0.46270025430309414,토마토(10kg),대구광역시,북부도매,29000.0
2013-01-02,10,2013,1.744107699181206,0.8073899158097148,-0.013483018008322379,0.4171049317218619,토마토(10kg),울산광역시,엄궁도매,28000.0
2013-01-02,11,2013,0.932110589713648,1.0474920994601986,0.5756916520568915,0.07093050446969135,토마토(10kg),경상남도,엄궁도매,28000.0
2013-01-02,12,2013,0.7654138082688519,0.5319346616362902,0.09263239418001111,-0.5415464773609266,토마토(10kg),광주광역시,각화도매,28000.0
2013-01-02,13,2013,1.3581300725194003,1.0604062950860653,0.2253642025144993,0.3773373496841048,토마토(10kg),부산광역시,엄궁도매,28000.0
2013-01-02,14,2013,0.4120899007321361,0.7432054404995828,0.3992758672260109,0.48615604711526034,토마토(10kg),전라남도,각화도매,28000.0
2013-01-03,0,2013,0.47813203148022015,0.026705244468540085,0.08173504260015897,-0.6504991632099244,토마토(10kg),강원도,가락도매,30000.0
2013-01-03,1,2013,1.1085456661982276,-0.08942933588618397,-0.6627276590276042,-0.5226546588298366,토마토(10kg),경기도,가락도매,30000.0
2013-01-03,2,2013,0.7008810112823655,-0.06970943914673637,-0.09107078241149788,0.3535401998001497,토마토(10kg),인천광역시,가락도매,30000.0
2013-01-03,3,2013,0.9819518848859019,-0.11485510397278773,-0.7315345857547364,-0.7302273668678848,토마토(10kg),서울특별시,가락도매,30000.0
2013-01-03,4,2013,-0.5147450678482004,0.10767806434268401,0.3901214973199225,-0.706938234337292,토마토(10kg),경상북도,북부도매,29000.0
2013-01-03,5,2013,1.3325890535671956,-0.3069385401323371,-0.48941520613701783,-0.8298095075126262,토마토(10kg),충청북도,오정도매,30000.0
2013-01-03,6,2013,-0.4714068852103164,0.004309041854236904,0.08938010309317997,-0.9606784115268466,토마토(10kg),충청남도,오정도매,30000.0
2013-01-03,7,2013,0.4322174065930619,-0.4334439003500411,-0.4991180523406386,-1.3242007228166721,토마토(10kg),대전광역시,오정도매,30000.0
2013-01-03,8,2013,0.1439839948944872,-0.27444044112241706,0.05164290384492823,-0.9530225184695175,토마토(10kg),전라북도,각화도매,28000.0
2013-01-03,9,2013,-0.37117904549344427,0.20854623878703551,-0.24656352538031462,-1.0517743846149619,토마토(10kg),대구광역시,북부도매,29000.0
2013-01-03,10,2013,-0.5982754981333122,0.29646770108462117,0.12978420648170916,-0.679008635014921,토마토(10kg),울산광역시,엄궁도매,28000.0
2013-01-03,11,2013,-1.3477272334856318,0.45820202093049567,0.6926373923594469,-0.7918553028227764,토마토(10kg),경상남도,엄궁도매,28000.0
2013-01-03,12,2013,-0.061267844728276386,0.1894680024403692,0.12977596337475233,-0.7521436785473575,토마토(10kg),광주광역시,각화도매,28000.0
2013-01-03,13,2013,-1.1118286547942833,0.2924097524153778,0.4249285976569306,-0.8317953866411423,토마토(10kg),부산광역시,엄궁도매,28000.0
2013-01-03,14,2013,-1.5896457559797734,-0.036962854345537144,0.8557112037987383,-0.5813227207915682,토마토(10kg),전라남도,각화도매,28000.0
2013-01-04,0,2013,2.3280250082596576,-0.1727736760544609,-0.06711896402346594,-0.6388833036126598,토마토(10kg),강원도,가락도매,30000.0
2013-01-04,1,2013,3.4737469157652985,-0.622006147851219,-1.0785916678054308,-0.8332929578975038,토마토(10kg),경기도,가락도매,30000.0
2013-01-04,2,2013,2.596339833564733,-0.03272755147735011,-1.0006255711720122,0.19282277223292538,토마토(10kg),인천광역시,가락도매,30000.0
2013-01-04,3,2013,3.1864801540569396,-0.7576253711919188,-1.284737428562707,-1.1728796959183598,토마토(10kg),서울특별시,가락도매,30000.0
2013-01-04,4,2013,0.5505021767662918,-0.06614913387551445,0.30906907871845846,-0.8995569712938518,토마토(10kg),경상북도,북부도매,29000.0
2013-01-04,5,2013,3.9524635398912538,-0.5620525910883823,-0.5688700091286374,-0.8921877879924915,토마토(10kg),충청북도,오정도매,30000.0
2013-01-04,6,2013,1.2516125115619965,-0.30206974158935423,-0.21900710960722702,-1.1260351107462683,토마토(10kg),충청남도,오정도매,30000.0
2013-01-04,7,2013,2.8540347946673825,-0.930247696748652,-1.004868675123066,-1.3691696260608928,토마토(10kg),대전광역시,오정도매,30000.0
2013-01-04,8,2013,1.2532060085168788,-0.4361367863250925,-0.09663080404667071,-1.4719835926726368,토마토(10kg),전라북도,각화도매,28000.0
2013-01-04,9,2013,1.1311757507361908,-0.14823654798785246,-0.64787956344217,-1.0943642939412739,토마토(10kg),대구광역시,북부도매,29000.0
2013-01-04,10,2013,0.6653811071447858,-0.003110473540627163,-0.27295169709047257,-0.9895682135449336,토마토(10kg),울산광역시,엄궁도매,28000.0
2013-01-04,11,2013,-0.013099934650132353,0.12306153084981683,0.22492938372007185,-1.243484449107755,토마토(10kg),경상남도,엄궁도매,28000.0
2013-01-04,12,2013,0.6768407784750222,0.07759016133011844,-0.10552988127964967,-1.17682708359627,토마토(10kg),광주광역시,각화도매,28000.0
2013-01-04,13,2013,0.7615335698985923,-0.14459155459600445,-0.4554757518746875,-1.38522404736105,토마토(10kg),부산광역시,엄궁도매,28000.0
2013-01-04,14,2013,0.07287647806393659,0.10522428824212784,-0.06058345239953158,-0.6955096186739994,토마토(10kg),전라남도,각화도매,28000.0
2013-01-07,0,2013,2.936212551774149,-0.5104809151988946,0.13741901340150556,0.6070883613738906,토마토(10kg),강원도,가락도매,30000.0
2013-01-07,1,2013,5.043188966679326,-1.259859244889982,-1.0901744299813951,0.3272154653967895,토마토(10kg),경기도,가락도매,30000.0
2013-01-07,2,2013,4.439817315951493,-0.9034127170567788,-0.6965655200444872,1.723772291050595,토마토(10kg),인천광역시,가락도매,30000.0
2013-01-07,3,2013,5.427799084802833,-1.5216641063886036,-1.4882973222006055,-0.10758088777543531,토마토(10kg),서울특별시,가락도매,30000.0
2013-01-07,4,2013,0.8551218201885624,-0.24800721552548438,0.14461905744898715,-0.12071733860719652,토마토(10kg),경상북도,북부도매,29000.0
2013-01-07,5,2013,5.745826182256452,-0.8665056873645435,-0.7474591777424939,0.5914266964630959,토마토(10kg),충청북도,오정도매,30000.0
2013-01-07,6,2013,2.4381778999124615,-0.6114946607040161,-0.4487357204105169,-0.1166234328872233,토마토(10kg),충청남도,오정도매,30000.0
2013-01-07,7,2013,3.962258296868179,-1.196957413748788,-1.400323368748634,0.02766909472614034,토마토(10kg),대전광역시,오정도매,30000.0
2013-01-07,8,2013,2.463751984015671,-0.3338491131493355,-0.36066979636091634,-0.3616574887049647,토마토(10kg),전라북도,각화도매,28000.0
2013-01-07,9,2013,2.045785348498243,-0.32445663587959356,-1.2326000962331842,-0.33892607463851687,토마토(10kg),대구광역시,북부도매,29000.0
2013-01-07,10,2013,1.0848499315104636,-0.0644309631648519,-0.7337818879307754,-0.4502902995529139,토마토(10kg),울산광역시,엄궁도매,28000.0
2013-01-07,11,2013,0.8061976012219393,0.004759367907760934,-0.34195069282476986,-0.6361755641933097,토마토(10kg),경상남도,엄궁도매,28000.0
2013-01-07,12,2013,2.37900845322138,-0.003124574687028212,-0.8183889700790239,-0.25867321057676346,토마토(10kg),광주광역시,각화도매,28000.0
2013-01-07,13,2013,1.0701151917366438,-0.27547223587216363,-1.0160808948451974,-0.8685782896330032,토마토(10kg),부산광역시,엄궁도매,28000.0
2013-01-07,14,2013,1.7282789788205788,0.014319175104195381,-0.7881467519012387,0.6654964933572045,토마토(10kg),전라남도,각화도매,28000.0
2013-01-08,0,2013,2.7442539099894256,0.1076716020957453,-0.5103543701753056,0.808072906062878,토마토(10kg),강원도,가락도매,27000.0
2013-01-08,1,2013,4.716221439248841,-0.7143165030593114,-1.5630612177576813,0.42277791677464843,토마토(10kg),경기도,가락도매,27000.0
2013-01-08,2,2013,4.082328281275909,-0.11257150417466538,-1.253612678857651,1.1982611272812884,토마토(10kg),인천광역시,가락도매,27000.0
2013-01-08,3,2013,5.023488556638244,-0.8970737217263574,-1.9391942562306885,0.28545680168854587,토마토(10kg),서울특별시,가락도매,27000.0
2013-01-08,4,2013,1.893148426110094,0.09346340673936566,-0.41749817587350313,0.4169185813119499,토마토(10kg),경상북도,북부도매,29000.0
2013-01-08,5,2013,6.514339627711531,-0.5630552662204078,-1.4025355509056194,0.6598039053593824,토마토(10kg),충청북도,오정도매,30000.0
2013-01-08,6,2013,2.7173607421158072,-0.36340195571320555,-0.819349582873519,0.17309382682926794,토마토(10kg),충청남도,오정도매,30000.0
2013-01-08,7,2013,5.097668250362236,-0.930666772484038,-1.9250849885001882,0.20655885042616687,토마토(10kg),대전광역시,오정도매,30000.0
2013-01-08,8,2013,2.709238517240251,-0.25254968903699926,-0.8795377001769862,0.10812003040430831,토마토(10kg),전라북도,각화도매,28000.0
2013-01-08,9,2013,3.872091348587446,-0.2310346915051478,-1.8066709158881886,0.6956060574371102,토마토(10kg),대구광역시,북부도매,29000.0
2013-01-08,10,2013,2.101555463308786,0.18562407194164648,-1.0294012862130937,0.5512114271837728,토마토(10kg),울산광역시,엄궁도매,28000.0
2013-01-08,11,2013,1.308277568700261,0.335170272285528,-0.6062392314998464,0.22213995338451376,토마토(10kg),경상남도,엄궁도매,28000.0
2013-01-08,12,2013,3.3184304250900176,0.030788260053512154,-1.2332884339295151,0.6204039423624116,토마토(10kg),광주광역시,각화도매,28000.0
2013-01-08,13,2013,1.3757762085570502,0.11473938103318916,-1.0733540071124723,-0.037450536784496974,토마토(10kg),부산광역시,엄궁도매,28000.0
2013-01-08,14,2013,2.037777373852841,0.26208845101383554,-1.3062059661980614,1.2266766524081123,토마토(10kg),전라남도,각화도매,28000.0
