일시,도_num,연도,SO2,CO,O3,NO2,PM10,PM25,합계 일조시간(hr),가격
2018-04-09,7,2018,0.0038787103499507754,0.47074138585149683,0.037813424217597626,0.02303327419884661,63.79040693508912,30.448234710621712,10.352463203463202,26133.333333333332
2018-04-10,7,2018,0.003653662629252183,0.4279728443733456,0.036092293345556234,0.020093656351603376,52.50983313783578,23.733338497989507,8.23176911976912,26200.0
2018-04-11,7,2018,0.003299765010312419,0.3804968373883078,0.0422595197378404,0.013346787456370312,57.47590206261419,21.934042151955477,10.642536796536797,26200.0
2018-04-12,7,2018,0.003981399885637769,0.4015635122645168,0.03249301528389588,0.02054180605213315,43.41662760444055,15.34410115394753,9.595555555555556,26866.666666666668
2018-04-13,7,2018,0.003705350058464216,0.4035016452455127,0.03282712399616817,0.020472067006839657,43.13868192244308,15.700869060861562,2.637401154401154,27066.666666666668
2018-04-14,7,2018,0.002880858790601225,0.39895547413856636,0.033271412270933165,0.015781594947736885,25.333392082015777,14.567637736829965,0.0877056277056277,27066.666666666668
2018-04-15,7,2018,0.002966946333562179,0.40416787747857014,0.03876048581444389,0.010055148598895265,121.77411891221755,25.329670948589637,9.243349206349206,27066.666666666668
2018-04-16,7,2018,0.0033084107598533785,0.4486232501800989,0.03317982333860184,0.01740982071956894,57.09529893173082,23.71778851130382,10.351437229437229,27066.666666666668
2018-04-17,7,2018,0.004048983571539782,0.47090807213771163,0.03494152771540725,0.02220431882422498,75.66394903981457,28.74155635369959,10.09098556998557,28466.666666666668
2018-04-18,7,2018,0.004361195140979154,0.47358010356368463,0.03983202186522658,0.024120017775516082,86.90246606569949,32.59626177255361,11.7031544011544,28466.666666666668
2018-04-19,7,2018,0.004907179131281197,0.47046151099425243,0.04107157317726669,0.026542752359626963,65.31399022675278,30.471442306898474,11.634911976911976,28400.0
2018-04-20,7,2018,0.005743599816047454,0.5570038098847869,0.04990286909497003,0.033348903540257074,90.98902754579379,42.70872418311854,11.562603174603174,29600.0
2018-04-21,7,2018,0.005529488048384482,0.47478053864126474,0.04139693883463311,0.026220970193767533,73.0506337429834,36.2257267050853,11.600645021645018,29600.0
2018-04-22,7,2018,0.003944331265151267,0.3965009301487725,0.03228221077054144,0.016077653504852137,47.16303238675399,25.652910650399267,1.3024314574314575,29600.0
2018-04-23,7,2018,0.0026127326486459516,0.39002373808048296,0.03891961114432749,0.0132986128749376,19.57715986517346,14.048531222744236,0.0071428571428571435,29600.0
2018-04-24,7,2018,0.0025851610531363004,0.35716292930799415,0.03722282983820172,0.013115945114735739,12.030518202846233,7.895339949847511,0.25915440115440114,28666.666666666668
2018-04-25,7,2018,0.0035030274823435975,0.40652764461375607,0.03400361620049241,0.0204346815667348,32.23654602624026,19.65814640220212,11.53737085137085,28866.666666666668
2018-04-26,7,2018,0.004994246349307594,0.47712380124742465,0.03691705347130145,0.02515458478622808,47.62964061825819,30.78369168605776,10.427578643578643,28400.0
2018-04-27,7,2018,0.004536494537840669,0.4491260308703564,0.04395937423292257,0.02147161655125376,54.42788827861611,32.51113927041846,10.864864357864358,28200.0
2018-04-28,7,2018,0.004531508670703139,0.4660959328845293,0.0411150934248838,0.02144975410048609,59.39556376190716,33.97529081029912,11.569018759018759,28244.444444444445
2018-04-29,7,2018,0.0038984290158501616,0.46822873578892366,0.05339250320406103,0.01706722391667219,56.33099808750846,33.566090922765774,11.408901875901876,28288.888888888887
2018-04-30,7,2018,0.00395771132459734,0.5119237864798526,0.050838086893499286,0.01874129622125647,67.51828553090931,44.56749048606244,8.378580086580087,28333.333333333332
2018-05-01,7,2018,0.0049934038652489745,0.5099516742853826,0.040145251907780906,0.017664606515962116,62.36535052854693,41.69854156452989,3.8980981240981247,28466.666666666668
2018-05-02,7,2018,0.003509698111716678,0.4751267456779769,0.03354884131811934,0.016084541420085936,37.080985081833745,26.492041388336897,0.2695483405483406,28600.0
2018-05-03,7,2018,0.0028070804424982962,0.3604307203898356,0.043989055302566575,0.011738152413930803,42.65797758810932,15.217581415001645,9.035018759018758,27666.666666666668
2018-05-04,7,2018,0.003301984971989279,0.3469103881765973,0.04759710730358857,0.013845488781328406,43.31584828723437,16.794608447489555,12.318474747474747,27666.666666666668
2018-05-05,7,2018,0.004116412790910147,0.3695086849996454,0.05476827658905104,0.014683461584668019,39.50785516684068,17.799264907710725,10.02451948051948,27116.666666666668
2018-05-06,7,2018,0.002989656854181159,0.3904449266413283,0.04202204571941253,0.012267221776967457,22.444780996195178,14.323541287453471,0.6452698412698413,26566.666666666668
2018-05-07,7,2018,0.003135027294571513,0.42511511560269016,0.031538845319459184,0.015973235620870593,25.485088914338075,15.139519596993324,2.8054069264069263,26016.666666666668
2018-05-08,7,2018,0.0028148757609764556,0.337451009251594,0.04154962773149784,0.01116088846397275,25.72249138799622,13.072953799991389,4.918991341991343,25466.666666666668
2018-05-09,7,2018,0.0029618022595564097,0.33147040135582206,0.039598988689903906,0.012628258747991032,27.60556075792839,12.72883899111926,8.576974025974028,25133.333333333332
2018-05-10,7,2018,0.003732050582487433,0.38414159561344174,0.04135795679144247,0.016257545867862856,41.44018187941738,22.7898394990475,10.586933621933623,25133.333333333332
2018-05-11,7,2018,0.003843971845752796,0.42984144886920017,0.045177674106474025,0.019654667512363406,49.520909855676834,30.358943614887135,8.791512265512266,25133.333333333332
2018-05-12,7,2018,0.003904159203639961,0.4065147622247433,0.03225714111694536,0.018883639657726548,34.626423362321574,21.825270606219245,0.03722655122655123,24688.88888888889
2018-05-13,7,2018,0.0030512559182793316,0.3813117741992125,0.038064747281705794,0.011200230291048694,23.18993047137338,15.66603820671995,6.542920634920635,24244.44444444444
2018-05-14,7,2018,0.003998904380635242,0.5318241646737101,0.044086420105882956,0.020410230509417086,59.13263480020916,38.459394052254495,9.647463203463202,23800.0
2018-05-15,7,2018,0.0044483585016630795,0.5831323572190752,0.04195702729444594,0.024363552287516112,69.54702514251241,42.054619256551284,7.858347763347763,23266.666666666668
2018-05-16,7,2018,0.003022997908849255,0.3931995873994027,0.017457769508759716,0.014094604694640136,30.704592791095582,18.577894000683045,0.26475901875901875,23066.666666666668
2018-05-17,7,2018,0.002908662004691473,0.342803118765622,0.018341885462993594,0.012674645415706128,20.165543553412824,12.09925928426989,1.8227561327561328,22466.666666666668
2018-05-18,7,2018,0.0032393699164325563,0.3602412340929039,0.022925679046374815,0.01337523360832164,21.649825491270622,13.746384717632456,0.5825007215007215,22133.333333333332
2018-05-19,7,2018,0.002654148688313737,0.3067122706349876,0.035543531037045266,0.009801135548329258,18.862569882760408,9.334961984409277,9.024007215007215,22133.333333333332
2018-05-20,7,2018,0.0026665257279861443,0.2888124663398699,0.03860492928899197,0.00943351738990724,17.20920174408621,8.148039311015443,6.889246753246754,22133.333333333332
2018-05-21,7,2018,0.0030016710030207404,0.32317297229369096,0.036788142207503344,0.013371398682971453,25.041002027337473,12.476285217406588,7.690810966810967,22133.333333333332
2018-05-22,7,2018,0.003938950145930957,0.3907522349345058,0.03202532450446416,0.01638513035311024,33.51700822256774,20.671102935260716,5.180728715728716,21800.0
2018-05-23,7,2018,0.003263995455159499,0.35045333803090106,0.04137175464449061,0.012877191954264955,44.76531982044479,14.559441689908871,10.811324675324675,21466.666666666668
2018-05-24,7,2018,0.003915748324133266,0.41054919713284616,0.0429977714338201,0.019051713088463738,85.04121671481082,23.8887632823337,12.380170274170274,20466.666666666668
2018-05-25,7,2018,0.0043579296668229996,0.43930446322038463,0.051347113734796564,0.02290076257911556,84.34304344228217,30.5569099762841,9.742513708513709,20266.666666666668
2018-05-26,7,2018,0.00504675383898182,0.4652716085473637,0.0545023349866939,0.022098658492097165,71.12167265221537,32.60637847512442,12.662531024531026,20133.33333333333
2018-05-27,7,2018,0.00554515958941078,0.45976820429916443,0.04982468990404501,0.017148149406333565,67.64450846012609,34.20828522983816,3.5188845598845604,20000.0
2018-05-28,7,2018,0.005000482323822225,0.4352772976653002,0.043451068027128746,0.01984149581920734,56.75921514009682,32.25424903403547,8.358044733044732,19866.666666666668
2018-05-29,7,2018,0.0045868128349695085,0.39218350346030106,0.038078482507126234,0.017061939830263488,46.81869449295014,30.19960539730725,6.5477518037518045,19866.666666666668
2018-05-30,7,2018,0.004160606857739128,0.406340922589655,0.035766622702719464,0.016825573977064575,47.450268076295494,30.271363877413183,6.35083694083694,19866.666666666668
2018-05-31,7,2018,0.0037015332935820054,0.40391896854770215,0.043849240960147896,0.016104166484081944,41.88985738314257,25.461669476132847,10.942861471861471,19533.333333333332
2018-06-01,7,2018,0.004550155530341123,0.43404819456909594,0.04495237928974765,0.021522984354824325,44.091760217721394,24.877208459146964,12.829021645021646,19533.333333333332
2018-06-02,7,2018,0.005200481211971364,0.423658563099526,0.051169326794415805,0.02094768338921009,42.542837744487414,24.0780605324567,12.62425974025974,19511.111111111113
2018-06-03,7,2018,0.005081303995304754,0.40677242285423787,0.050692248577609525,0.017712880966663673,41.74832708369331,25.678089157266268,11.340232323232325,19488.888888888883
2018-06-04,7,2018,0.005362128727506236,0.39214074966151574,0.043956017033751675,0.019000257623722483,46.26563311723916,28.601333312949734,7.990320346320346,19466.666666666668
2018-06-05,7,2018,0.004844838772454803,0.38946261848968616,0.036554329077325726,0.018037363486043765,45.30201752623372,30.12618439521476,5.8580995670995675,18266.666666666668
2018-06-06,7,2018,0.0047641816136835165,0.40125589583878174,0.04362952424396557,0.015679875600641727,51.811960050876536,35.37909628792817,10.175261183261183,18133.333333333332
2018-06-07,7,2018,0.004587843338720407,0.43088811699196433,0.04531936973256307,0.017846871282398438,59.23494223548085,39.77481087340581,10.056836940836941,18000.0
2018-06-08,7,2018,0.004281532968804977,0.4145894390866945,0.046043487247967856,0.015850577858789208,55.01547621368543,36.440541468999946,8.332774891774891,18733.333333333332
2018-06-09,7,2018,0.0035594679207031545,0.40852383681431537,0.04633047338433988,0.012974019771296244,47.89422175718869,30.505469508645735,7.135405483405484,18733.333333333332
2018-06-10,7,2018,0.0029405297816839115,0.3072138783123077,0.03780537659194611,0.007916986577055222,18.88540934626203,11.428440023892232,2.2103088023088024,18733.333333333332
2018-06-11,7,2018,0.002883087908196589,0.32394025716637054,0.027397156493217355,0.011814052761392376,18.734436231426532,10.516008698329697,1.4427936507936507,18733.333333333332
2018-06-12,7,2018,0.003551598490315881,0.34348821213973063,0.028124239220585275,0.013326218670158279,25.810884935125802,14.649422888885843,6.26819769119769,18733.333333333332
2018-06-13,7,2018,0.0038637205499954096,0.367932945670845,0.03463958539730509,0.013306742326429194,33.410893867346644,20.777005804187866,5.868321789321788,18933.333333333332
2018-06-14,7,2018,0.0034414121959818753,0.3581007345241069,0.03571634748637598,0.012837035971603692,29.90072799851903,17.939589301821155,5.866816738816739,19133.333333333332
2018-06-15,7,2018,0.0031094860002875554,0.29878247583247236,0.03539421871550782,0.01024868823643434,23.49821193467084,11.91368133283442,8.593672438672439,18733.333333333332
2018-06-16,7,2018,0.0034304474720020088,0.29792474144177644,0.03570459365912421,0.010527863646380569,23.257845479640043,12.845723053617311,10.416829725829727,18600.0
2018-06-17,7,2018,0.0045970297037236174,0.3848345929596758,0.03796330616117394,0.014362407433952559,37.594623973123426,24.418937293752638,5.764059163059164,18466.666666666668
2018-06-18,7,2018,0.004931187558338312,0.42407179499176134,0.043436021287149344,0.018628798014804146,45.21825044313777,30.015408250832532,9.921910533910536,18333.333333333332
2018-06-19,7,2018,0.004801373614262222,0.4222633112373036,0.03270514467037471,0.019961384694640764,45.23844465944122,31.35358005881526,1.0482251082251082,19733.333333333332
2018-06-20,7,2018,0.0036170116541337856,0.3606096428361829,0.03703433885931747,0.014130116586423979,37.451829912058436,25.52849954018058,9.349562770562772,19733.333333333332
2018-06-21,7,2018,0.003749674469391761,0.38403176633027375,0.042971961773154474,0.0157759386587359,38.877311948563616,24.906571084669455,11.59063059163059,20800.0
2018-06-22,7,2018,0.004441867948981498,0.4225961449224547,0.044328979734235635,0.021254734208722217,39.834806711671725,24.310716099281358,9.204252525252523,22000.0
2018-06-23,7,2018,0.004569557851313912,0.4082547807432916,0.048413472083290714,0.017762726880727456,41.397548580072375,25.25162073778576,7.149808080808081,21377.777777777766
2018-06-24,7,2018,0.004343504525140592,0.4645469781749429,0.06411212922862833,0.012110447034265061,55.490975985441914,35.051212016678605,11.556520923520925,20755.55555555556
2018-06-25,7,2018,0.004827635391837004,0.4925595305669371,0.05448245685618058,0.02248337478715446,57.16192327540796,34.69012240147913,8.204017316017318,20133.333333333332
2018-06-26,7,2018,0.003624156923852745,0.41916955447696364,0.03159502574454196,0.015935049224683275,41.32778052838647,26.589930561750602,0.035460317460317456,20133.333333333332
2018-06-27,7,2018,0.0030486526934435784,0.37540968013020476,0.03621931791047951,0.01172088198629541,22.149069685765074,13.925090910676099,4.031819624819625,20533.333333333332
2018-06-28,7,2018,0.0032242531382787177,0.3845363601197556,0.029405682198924733,0.016037600163292812,19.38298882819965,12.585392273211692,0.5850707070707072,20533.333333333332
2018-06-29,7,2018,0.0035750197505187127,0.3935762638682185,0.03574814268682765,0.015082784038023208,27.93566623032608,17.96248925089157,5.912359307359307,19066.666666666668
2018-06-30,7,2018,0.0033484760216791654,0.3918916765659712,0.02857824625080697,0.015630224747387487,27.812338826979108,17.36890081836491,0.7993290043290044,18711.11111111111
2018-07-01,7,2018,0.0034828919131712766,0.3039137810811824,0.020830087876844962,0.009876167435743146,15.731582449692288,9.181904095929182,1.2274227994227993,18355.555555555555
2018-07-02,7,2018,0.0035706994611924203,0.3241449434444435,0.019470672468146762,0.013648599169095305,16.650369850078,8.93744247868853,1.5230923520923518,18000.0
2018-07-03,7,2018,0.003034643409326512,0.31307678333010114,0.012727292268228023,0.010108397619736297,15.539793971089948,8.094577547096366,3.8291601731601728,18000.0
2018-07-04,7,2018,0.0034607486221438547,0.3296930056560383,0.020736390435225228,0.011612609062236998,20.454132010605488,11.131063638555133,8.194795093795094,17533.333333333332
