판매일시,파종일시,도,PC1,PC2,PC3,PC4,가격,도_num,파종연월,판매연월
2013-05-01,2013-01-01,강원도,1.7162817623645987,-0.6137016716829404,1.2503896292153602,-0.2581853465712629,28000.0,0,2013-01,2013-05
2013-05-01,2013-01-01,경기도,1.9207099889085026,-1.376477758362564,0.8983410607250134,-0.42773218982922545,28000.0,1,2013-01,2013-05
2013-05-01,2013-01-01,경상남도,2.4364996588176115,-0.28887032092400233,1.4079787993754853,0.022910890693093933,28000.0,11,2013-01,2013-05
2013-05-01,2013-01-01,경상북도,1.56932976755197,-0.8551304319206476,1.0753632058991975,-0.6395217043106063,28000.0,4,2013-01,2013-05
2013-05-01,2013-01-01,광주광역시,3.4652813495310304,-1.4161567884595625,0.8153037723194504,-0.18861870360079772,28000.0,12,2013-01,2013-05
2013-05-01,2013-01-01,대구광역시,3.2236914784350787,-1.5591996307680858,0.8950081969297777,-0.02822145704139294,28000.0,9,2013-01,2013-05
2013-05-01,2013-01-01,대전광역시,3.167483474683165,-1.8630065361366337,0.8281962596163471,0.04296409677718853,28000.0,7,2013-01,2013-05
2013-05-01,2013-01-01,부산광역시,2.0664165638536836,-0.2468446926267445,1.5556687107206029,0.23963003651895587,28000.0,13,2013-01,2013-05
2013-05-01,2013-01-01,서울특별시,2.331867181685521,-2.084690602024149,0.5572969742824266,-0.49610248938308654,28000.0,3,2013-01,2013-05
2013-05-01,2013-01-01,울산광역시,2.4193416355161945,-0.5764147666444828,1.624233269216351,0.698303931558095,28000.0,10,2013-01,2013-05
2013-05-01,2013-01-01,인천광역시,2.1558026750422545,-1.3873080069205097,1.0276907542956513,-0.07274075834899277,28000.0,2,2013-01,2013-05
2013-05-01,2013-01-01,전라남도,3.093470082333386,-0.26512774216113083,2.4679458919418185,2.3696975473238315,28000.0,14,2013-01,2013-05
2013-05-01,2013-01-01,전라북도,1.279326770293886,-0.5123600628728336,1.4307630530082498,-0.16004423253397732,28000.0,8,2013-01,2013-05
2013-05-01,2013-01-01,충청남도,0.7245172405143506,-0.6481238406545139,1.227314045579707,-0.6329434024281427,28000.0,6,2013-01,2013-05
2013-05-01,2013-01-01,충청북도,3.7994587685065047,-1.4065264612244242,0.9112342191428007,0.061632361738274834,28000.0,5,2013-01,2013-05
2013-05-02,2013-01-02,강원도,0.09054081785103078,0.3513252101729289,1.4017559166718725,-1.1102399913961614,26000.0,0,2013-01,2013-05
2013-05-02,2013-01-02,경기도,0.23560954485841284,-0.4686197311939337,1.1863267750224913,-0.9924704563368291,26000.0,1,2013-01,2013-05
2013-05-02,2013-01-02,경상남도,1.100253559104761,0.6723580099295131,1.5810693824988473,-0.7196847235580175,26000.0,11,2013-01,2013-05
2013-05-02,2013-01-02,경상북도,0.6306819437740059,0.15987367139174966,1.2833733407078978,-1.1828814092597928,26000.0,4,2013-01,2013-05
2013-05-02,2013-01-02,광주광역시,0.9461766778998646,-0.12471759450940081,1.254772531871919,-0.9045976944375163,28000.0,12,2013-01,2013-05
2013-05-02,2013-01-02,대구광역시,1.109042869253873,-0.18975963777424232,1.2754838560814679,-0.8154353825342605,28000.0,9,2013-01,2013-05
2013-05-02,2013-01-02,대전광역시,0.14785455695559188,-0.5112801026269282,1.1293648368745086,-1.129660222747071,30000.0,7,2013-01,2013-05
2013-05-02,2013-01-02,부산광역시,1.5273639814813247,0.5769990324868174,1.7204619352662518,-0.284171905185948,29000.0,13,2013-01,2013-05
2013-05-02,2013-01-02,서울특별시,0.054951413791812696,-0.5656100773962164,1.0811997137355691,-1.120536049740966,26000.0,3,2013-01,2013-05
2013-05-02,2013-01-02,울산광역시,1.9229837614217695,0.25472947342278507,1.6228356614427832,-0.10957061584428615,26000.0,10,2013-01,2013-05
2013-05-02,2013-01-02,인천광역시,0.4373706621735286,-0.31231687461041213,1.3895748322211179,-0.6337222353017701,26000.0,2,2013-01,2013-05
2013-05-02,2013-01-02,전라남도,0.5779737172268871,0.41528186031775155,1.7714434222007103,-0.3629537523135762,26000.0,14,2013-01,2013-05
2013-05-02,2013-01-02,전라북도,0.07887172217961165,-0.18660922292210166,1.2728081828978048,-1.1304343517398387,26000.0,8,2013-01,2013-05
2013-05-02,2013-01-02,충청남도,-0.5008305307276361,-0.1533941288669957,1.2337940608621552,-1.3498884770485065,26000.0,6,2013-01,2013-05
