"품목명","품종명","시군구","마켓명","연도","날짜","가격"
"토마토","토마토(10kg)","서울","가락도매","2017","01/02","43,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/03","41,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/04","40,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/05","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/06","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/09","36,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/10","34,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/11","35,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/12","34,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/13","35,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/16","33,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/17","35,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/18","35,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/19","32,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/20","34,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/23","32,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/24","34,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/25","35,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/26","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","01/31","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/01","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/02","40,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/03","40,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/06","40,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/07","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/08","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/09","40,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/10","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/13","37,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/14","39,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/15","38,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/16","36,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/17","35,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/20","36,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/21","36,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/22","36,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/23","34,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/24","32,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/27","35,000"
"토마토","토마토(10kg)","서울","가락도매","2017","02/28","34,000"
"토마토","토마토(10kg)","서울","가락도매","2017","03/02","33,000"
"토마토","토마토(10kg)","서울","가락도매","2017","03/03","31,000"
"토마토","토마토(10kg)","서울","가락도매","2017","03/06","33,000"
"토마토","토마토(10kg)","서울","가락도매","2017","03/07","35,000"
